第幾單元,相似字形,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞,語詞
0,們 門 聞 開 問 間,問候,請問,,,,,,,,,,,,,
0,果 課 棵,上課,下課,,,,,,,,,,,,,
0,子 了 好,上課了,別忘了,,,,,,,,,,,,,
0,子 了 好,老師好,,,,,,,,,,,,,,
1,手 毛,握手,,,,,,,,,,,,,,
1,左 在,在哪裡,在這裡,,,,,,,,,,,,,
1,右 有 友,有幾隻,有幾天,有七天,,,,,,,,,,,,
1,右 有 友,朋友,,,,,,,,,,,,,,
1,右 又,又少了,又數󠇡一󠇢數󠇡,又是風雨,又畫了花,又搬回去,,,,,,,,,,
1,我 找,找老虎,找不󠇡到,,,,,,,,,,,,,
1,我 找,我六歲,我考一󠇢百分,,,,,,,,,,,,,
1,千 十,十頭驢,十分鐘,,,,,,,,,,,,,
1,千 十,一󠇢千元,,,,,,,,,,,,,,
1,大 太 天 木,大步走,,,,,,,,,,,,,,
1,大 太 天 木,木瓜,,,,,,,,,,,,,,
1,小 少,小松鼠,,,,,,,,,,,,,,
1,小 少,少了一󠇢頭驢,,,,,,,,,,,,,,
1,果 課 棵,蘋果,,,,,,,,,,,,,,
1,果 課 棵,一󠇢棵樹,,,,,,,,,,,,,,
1,子 了 好,杏子󠇡,橘子󠇡,桃子󠇡,李子󠇡,,,,,,,,,,,
1,子 了 好,幾歲了,考了幾分,不好了,少了一󠇢頭驢,走累了,,,,,,,,,,
1,子 了 好,好了,,,,,,,,,,,,,,
1,人 八 入,八點鐘,,,,,,,,,,,,,,
1,同 回 口 洞,怎麼一󠇢回事,搬回去,,,,,,,,,,,,,
1,白 日 自 百 口 目 田 苗,一󠇢百元,一󠇢百五十年前,,,,,,,,,,,,,
1,說 話 語,你說稀奇不稀奇,,,,,,,,,,,,,,
1,歌 奇 椅,稀奇,好󠇡奇,,,,,,,,,,,,,
1,沒 投,沒錯,,,,,,,,,,,,,,
1,木 本 林 森,一󠇢本書,,,,,,,,,,,,,,
1,木 本 林 森,木瓜,,,,,,,,,,,,,,
1,也 她 他 地 它,他騎上一󠇢頭驢,,,,,,,,,,,,,,
1,雙 隻,松鼠有幾隻,,,,,,,,,,,,,,
1,月 明 朋 用,五月,,,,,,,,,,,,,,
1,月 明 朋 用,朋友,,,,,,,,,,,,,,
2,手 毛,洗手,手機,手指頭󠇡,左右手,,,,,,,,,,,
2,左 在 右 有 友,左手,左邊,往左,,,,,,,,,,,,
2,左 在,不󠇡在家,,,,,,,,,,,,,,
2,右 有 友,有幾個󠇡月,有什麼,有兩個󠇡,有一󠇢本書,有十個󠇡,有用,也有,有一󠇢天,,,,,,,
2,右 有 友,小朋友,,,,,,,,,,,,,,
2,左 右 有 友,在右,右手,右邊,往右,,,,,,,,,,,
2,是 最,就是,是什麼,,,,,,,,,,,,,
2,是 最,最後,,,,,,,,,,,,,,
2,千 十,十二個󠇡月,,,,,,,,,,,,,,
2,大 太 天 木,有一󠇢天,飛上天,,,,,,,,,,,,,
2,大 太 天 木,大風雨,很大,大家,一󠇡大瓶水,抓一󠇡大把,,,,,,,,,,
2,們 門 聞 開 問 間,中間,有間木屋,,,,,,,,,,,,,
2,們 門 聞 開 問 間,不開口,,,,,,,,,,,,,,
2,小 少,小孩,小學,小番茄,小豬,,,,,,,,,,,
2,果 課 棵,課本,,,,,,,,,,,,,,
2,子 了 好,椅子󠇡,,,,,,,,,,,,,,
2,子 了 好,飛上天了,氣球碰到月亮了,氣球破了,,,,,,,,,,,,
2,子 了 好,正好,正好,,,,,,,,,,,,,
2,人 八 入,八月,,,,,,,,,,,,,,
2,同 回 口 洞,不開口,口水,口香糖,咬了一󠇢口,,,,,,,,,,,
2,白 日 自 百 口 目 田 苗,自己,,,,,,,,,,,,,,
2,白 日 自 百 口 目 田 苗,口水,口香糖,不開口,咬了一󠇢口,,,,,,,,,,,
2,歌 奇 椅,椅子󠇡,座椅,,,,,,,,,,,,,
2,媽 嗎,在家嗎,可以遲到嗎,,,,,,,,,,,,,
2,把 吧 巴 爬,嘴巴󠇡,尾巴󠇡,,,,,,,,,,,,,
2,把 吧 巴 爬,一󠇢把椅子󠇡,,,,,,,,,,,,,,
2,木 本 林 森,課本,中文課本,,,,,,,,,,,,,
2,跟 根 很 眼 腿,很大,很尖,,,,,,,,,,,,,
2,跟 根 很 眼 腿,眼睛,雙眼,,,,,,,,,,,,,
2,跟 根 很 眼 腿,四條腿,腿毛,,,,,,,,,,,,,
2,也 她 他 地 它,他自己的床上,,,,,,,,,,,,,,
